"sim.ID","param.name","param.stat","param.stat.val"
"SIM_my_test_sim_20241112_143020","area.m2","sd",0
"SIM_my_test_sim_20241112_143020","JL","sd",0
"SIM_my_test_sim_20241112_143020","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143020","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143020","IL","sd",0
"SIM_my_test_sim_20241112_143020","m","sd",0
"SIM_my_test_sim_20241112_143020","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143020","trait.Ef","mean",0.323682034597732
"SIM_my_test_sim_20241112_143020","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20241112_143020","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143020","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143020","trait.Ef","sd",0.201216073418628
"SIM_my_test_sim_20241112_143020","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143020","regional.RA","sd",0
"SIM_my_test_sim_20241112_143025","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143025","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143025","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143025","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143025","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143025","W.r","fixed_value",1000
"SIM_my_test_sim_20241112_143025","area.m2","mean",1
"SIM_my_test_sim_20241112_143025","JL","mean",20000
"SIM_my_test_sim_20241112_143025","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143025","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143025","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143025","m","mean",0.05
"SIM_my_test_sim_20241112_143025","area.m2","sd",0
"SIM_my_test_sim_20241112_143025","JL","sd",0
"SIM_my_test_sim_20241112_143025","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143025","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143025","IL","sd",0
"SIM_my_test_sim_20241112_143025","m","sd",0
"SIM_my_test_sim_20241112_143025","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143025","trait.Ef","mean",0.323682034597732
"SIM_my_test_sim_20241112_143025","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20241112_143025","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143025","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143025","trait.Ef","sd",0.201216073418628
"SIM_my_test_sim_20241112_143025","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143025","regional.RA","sd",0
"SIM_my_test_sim_20241112_143030","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143030","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143030","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143030","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143030","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143030","W.r","fixed_value",5e+06
"SIM_my_test_sim_20241112_143030","area.m2","mean",1
"SIM_my_test_sim_20241112_143030","JL","mean",20000
"SIM_my_test_sim_20241112_143030","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143030","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143030","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143030","m","mean",0.05
"SIM_my_test_sim_20241112_143030","area.m2","sd",0
"SIM_my_test_sim_20241112_143030","JL","sd",0
"SIM_my_test_sim_20241112_143030","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143030","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143030","IL","sd",0
"SIM_my_test_sim_20241112_143030","m","sd",0
"SIM_my_test_sim_20241112_143030","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143030","trait.Ef","mean",0.323682034597732
"SIM_my_test_sim_20241112_143030","trait.Ef.sd","mean",0.1
"SIM_my_test_sim_20241112_143030","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143030","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143030","trait.Ef","sd",0.201216073418628
"SIM_my_test_sim_20241112_143030","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143030","regional.RA","sd",0
"SIM_my_test_sim_20241112_143036","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143036","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143036","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143036","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143036","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143036","W.r","fixed_value",0
